name,count
"Turk, Esq., Jeffrey Craig",688
"Frye, Esq., David",405
"Flynn, Esq., Frank Anthony",296
"Scolnick, Esq., Stephen M",279
"Downing, Esq., Catherine Frances",278
"Russo, Esq., Robert D",176
"Laverty, Esq., Mark R",163
"Schrier, Esq., Stuart Ted",150
"Saccardi, Esq., Christopher",134
"Greenman, Esq., Jordana Roubicek",131
"Cirace, Esq., E. Richard",122
"Krefetz, Esq., Joshua H",120
Self Represented,834
Other,1983
